,LocYear,econ1,econ2,econ3,econ4,econ5,econ6,econ7,econ8,econ9,econ10,econ11,econ12: 16-19,econ12: 16-24,econ12: 20-24
0,AK2000,0.04,,0.13,0.33,,,0.49,,,,,,,
1,AK2001,0.02,,0.09,0.21,,,0.41,,,,,,,
2,AK2002,0.04,,0.1,0.21,,,0.41,,,,,,,
3,AK2003,0.03,,0.14,0.18,,,0.4,,,,,,,
4,AK2004,0.06,,0.11,0.17,,,0.4,,,,,,,
5,AK2005,0.06,0.18,0.15,0.23,,0.28,0.41,,,63100.0,,,,
6,AK2006,0.06,,0.15,0.25,0.65,0.33,0.42,,,60800.0,,,,
7,AK2007,0.04,,0.11,0.22,0.64,0.31,0.39,0.07,,67000.0,0.05,,,
8,AK2008,0.04,0.18,0.11,0.21,0.65,0.32,0.34,0.08,0.13,73100.0,0.05,0.11,0.13,0.15
9,AK2009,0.05,,0.13,0.22,0.65,0.34,0.36,0.09,0.13,71500.0,0.07,0.12,0.16,0.19
10,AK2010,0.05,0.23,0.13,0.24,0.64,0.31,0.35,0.09,0.13,72700.0,0.06,0.11,0.17,0.21
11,AK2011,0.07,,0.15,0.27,0.6,0.32,0.33,0.07,0.17,68700.0,0.05,0.1,0.16,0.19
12,AK2012,0.05,,0.14,0.25,0.61,0.34,0.36,0.07,0.15,72000.0,0.05,0.1,0.15,0.19
13,AK2013,0.06,0.23,0.12,0.25,0.59,0.27,0.35,0.06,0.14,77400.0,0.05,0.08,0.14,0.17
14,AK2014,0.06,0.25,0.16,0.25,0.62,0.33,0.31,0.09,0.15,74800.0,0.06,0.11,0.15,0.17
15,AK2015,0.06,0.25,0.15,0.24,0.59,0.31,0.34,0.08,0.14,75500.0,0.06,0.09,0.15,0.19
16,AK2016,0.06,0.22,0.14,0.26,0.63,0.28,0.35,0.08,0.13,79500.0,0.06,0.11,0.17,0.22
17,AK2017,0.07,0.22,0.15,0.26,0.63,0.31,0.33,0.11,0.16,79400.0,0.08,0.07,0.14,0.2
18,AK2018,0.06,0.22,0.14,0.25,0.67,0.25,0.32,0.06,0.13,90100.0,0.04,0.1,0.16,0.21
19,AK2019,0.04,0.2,0.13,0.26,0.62,0.3,0.29,0.06,0.16,83700.0,0.05,0.12,0.15,0.18
20,AK2020,,,,,,,,0.08,,,0.06,,,
21,AK2021,0.06,0.26,0.12,0.21,0.7,0.3,0.34,0.07,0.14,94000.0,0.07,0.14,0.17,0.2
22,AK2022,0.06,0.23,0.14,0.23,0.67,0.28,0.32,0.04,0.16,101900.0,0.03,0.08,0.15,0.19
23,AK2022,0.06,0.23,0.14,0.23,0.67,0.28,0.32,0.04,0.16,101900.0,0.03,0.08,0.15,0.19
24,AK2023,0.06,0.21,0.12,0.22,0.7,0.27,0.3,0.06,0.14,101100.0,0.04,0.1,0.13,0.15
25,AK2024,0.07,0.21,0.13,,,,0.34,0.06,,110500.0,0.05,,,
26,AL2000,0.12,,0.21,0.12,,,0.35,,,,,,,
27,AL2001,0.11,,0.23,0.08,,,0.35,,,,,,,
28,AL2002,0.12,,0.24,0.11,,,0.37,,,,,,,
29,AL2003,0.12,,0.24,0.1,,,0.35,,,,,,,
30,AL2004,0.1,,0.23,0.08,,,0.36,,,,,,,
31,AL2005,0.12,0.26,0.25,0.09,,0.27,0.36,,,43100.0,,,,
32,AL2006,0.11,,0.23,0.08,0.68,0.3,0.36,,,47100.0,,,,
33,AL2007,0.11,,0.24,0.09,0.66,0.3,0.37,0.04,,47700.0,0.03,,,
34,AL2008,0.1,0.24,0.22,0.09,0.66,0.3,0.3,0.06,0.23,52600.0,0.05,0.1,0.16,0.21
35,AL2009,0.11,,0.25,0.09,0.65,0.33,0.35,0.15,0.24,48100.0,0.12,0.1,0.16,0.22
